Title,Author,Ave_rating,Rating_cnt,Review_cnt,Year,Pages,Publisher
Akata Witch,Nnedi Okorafor,4.08,13499,2534,2011,349,Viking Children's
Towers Falling,Jewell Parker Rhodes,4.08,6118,1158,2016,240,"Little, Brown BFYR"
Sweep: The Story of a Girl and Her Monster,Jonathan Auxier,4.56,2075,543,2018,368,Puffin Books
The Tea Dragon Society,Katie O'Neill,4.39,5519,1599,2017,72,Oni Press
The Spindlers,Lauren Oliver,3.56,3121,602,2012,246,HarperCollins
The Wolf Wilder,Katherine Rundell,4.05,4039,786,2015,336,Bloomsbury Children's
Flunked,Jen Calonita,3.78,4910,828,2015,256,Sourcebooks Jabberwocky
Rooftoppers,Katherine Rundell,4.04,6925,1279,2013,278,Faber  Faber
Dog Days,Jeff Kinney,4.15,98866,4873,2009,218,Amulet Books
Fantastic Mr. Fox,Roald Dahl,4.05,89528,3476,2002,96,Knopf Books for Young Readers
The People of Sparks,Jeanne DuPrau,3.66,47568,3322,2004,338,Yearling
The Girl Who Fell Beneath Fairyland and Led the Revels There,Catherynne M. Valente,4.18,8794,1189,2012,258,Feiwel &amp; Friends
The Penderwicks on Gardam Street,Jeanne Birdsall,4.26,16721,1630,2008,308,Alfred A. Knopf Books for Young Readers
"Catherine, Called Birdy",Karen Cushman,3.71,34949,1466,2004,224,HarperTrophy
Love That Dog,Sharon Creech,4.02,35083,4192,2008,112,HarperCollins
Odd and the Frost Giants,Neil Gaiman,3.97,24780,3098,2008,97,Bloomsbury Publishing PLC
The Tail of Emily Windsnap,Liz Kessler,3.9,19414,1768,2010,209,Candlewick Press
The Borrowers,Mary Norton,4.03,83500,1657,2003,192,HMH Books for Young Readers
The Honest Truth,Dan Gemeinhart,4.25,8160,1689,2015,240,Scholastic Press
Loki's Wolves,K.L. Armstrong,3.84,6846,841,2013,358,"Little, Brown Books for Young Readers"
The True Meaning of Smekday,Adam Rex,4.1,8375,1656,2007,426,Hyperion Books for Children
Beezus and Ramona,Beverly Cleary,3.99,87728,1714,2000,160,Oxford University Press
Save Me a Seat,Sarah Weeks,4.09,6986,1081,2016,240,Scholastic Press
The Isle of the Lost,Melissa de la Cruz,3.85,17392,2264,2015,320,Disney Hyperion
Palace of Stone,Shannon Hale,3.96,19037,2290,2012,336,Bloomsbury USA
The Miscalculations of Lightning Girl,Stacy McAnulty,4.25,2934,594,2018,294,Random House
All Rise for the Honorable Perry T. Cook,Leslie Connor,4.31,4905,890,2016,400,Katherine Tegen Books
Bunnicula,James Howe,3.85,57349,2104,2006,98,Atheneum Books for Young Readers
Where the Sidewalk Ends,Shel Silverstein,4.3,1096933,10146,2002,176,Harpercollins Childrens Books
The Dragonet Prophecy,Tui T. Sutherland,4.28,21031,1700,2012,336,Scholastic Press
Midnight for Charlie Bone,Jenny Nimmo,3.81,36944,1817,2003,416,Orchard Books
Son,Lois Lowry,3.98,71372,7894,2012,393,HMH Books for Young Readers
Skulduggery Pleasant,Derek Landy,4.21,45292,3661,2007,392,HarperCollins
A Dash of Trouble,Anna Meriano,4.14,910,277,2018,320,Walden Pond Press
The Cloud Searchers,Kazu Kibuishi,4.36,21240,1260,2010,203,Graphix
Alcatraz Versus the Evil Librarians,Brandon Sanderson,3.88,18919,2871,2007,308,Scholastic Press
Dragon Slippers,Jessica Day George,4.23,24574,2138,2007,324,Bloomsbury USA Childrens
The Egypt Game,Zilpha Keatley Snyder,3.82,30738,1311,2009,215,Turtleback Books
The Secret Horses of Briar Hill,Megan Shepherd,4.0,1575,443,2016,240,Delacorte Books for Young Readers
"Kat, Incorrigible",Stephanie Burgis,3.96,3740,619,2011,304,Atheneum
Grip of the Shadow Plague,Brandon Mull,4.27,73039,3035,2008,477,Shadow Mountain
The Jumbies,Tracey Baptiste,3.89,1796,402,2015,240,Algonquin Young Readers
The Witch's Boy,Kelly Barnhill,4.02,3341,602,2014,384,Algonquin Young Readers
Mary Poppins,P.L. Travers,4.03,101345,4491,2006,209,HMH Books for Young Readers
The Best Man,Richard Peck,3.95,3473,812,2016,240,Dial Books
The Midwife's Apprentice,Karen Cushman,3.72,36274,1695,1996,128,HarperTrophy
You Go First,Erin Entrada Kelly,3.78,2528,404,2018,288,Greenwillow Books
Flying Lessons & Other Stories,Ellen Oh,4.1,2757,601,2017,4,Listening Library
Gregor and the Prophecy of Bane,Suzanne Collins,4.18,36174,1883,2005,312,Scholastic Paperbacks
The Twits,Roald Dahl,3.95,101662,3237,2004,96,Puffin Books
The Lost Colony,Eoin Colfer,4.0,140421,1765,2006,385,Hyperion Books for Children
The Whispering Skull,Jonathan Stroud,4.32,13833,1773,2014,435,Disney Hyperion
The Shadows,Jacqueline West,3.94,8390,974,2010,224,Dial Books for Young Readers
The Mysterious Benedict Society and the Prisoner's Dilemma,Trenton Lee Stewart,4.29,30048,1474,2009,0,Listening Library (Audio)
A Single Shard,Linda Sue Park,3.89,32065,2361,2003,192,Yearling
Stuart Little,E.B. White,3.89,99009,2381,2006,131,HarperCollins
Zita the Spacegirl,Ben Hatke,4.06,13766,1146,2011,186,First Second
Lost in the Sun,Lisa Graff,4.06,5972,856,2015,304,Philomel Books
A Curious Tale of the In-Between,Lauren DeStefano,3.9,1698,411,2015,240,Bloomsbury USA Childrens
The Truth as Told by Mason Buttle,Leslie Connor,4.25,2579,600,2018,336,Katherine Tegen Books
The Demigod Diaries,Rick Riordan,4.18,38075,1633,2012,244,Disney-Hyperion Books
Half Magic,Edward Eager,3.95,33260,1431,1999,192,Harcourt Odyssey
My Side of the Mountain,Jean Craighead George,4.05,56312,2907,2004,192,Puffin Books
11 Birthdays,Wendy Mass,4.18,25893,2327,2009,272,Scholastic Press
Sunny,Jason Reynolds,4.09,2931,632,2018,159,Atheneum/Caitlyn Dlouhy Books
Snow & Rose,Emily Winfield Martin,3.98,2285,590,2017,213,Random House Books for Young Readers
Gracefully Grayson,Ami Polonsky,4.15,4721,956,2014,243,Disney-Hyperion
The Apothecary,Maile Meloy,4.03,11182,1479,2011,362,G.P. Putnam’s Sons
The Ugly Truth,Jeff Kinney,4.17,86620,3847,2010,217,Amulet books
The Secret of the Old Clock,Carolyn Keene,3.99,56053,2679,1991,210,Applewood Books
The House with a Clock in Its Walls,John Bellairs,3.81,13423,1654,2004,179,Puffin Books
The Dark Is Rising,Susan Cooper,4.07,47848,2171,2007,272,Margaret K. McElderry 
The Boy in the Striped Pajamas,John Boyne,4.13,408587,23111,2006,224,David Fickling Books
Alice's Adventures in Wonderland,Lewis Carroll,4.01,161477,7404,1997,96,Public Domain Books
Charlie and the Great Glass Elevator,Roald Dahl,3.66,80114,2352,2005,159,Puffin Books
Julie of the Wolves,Jean Craighead George,3.8,51113,1552,2016,176,HarperCollins
Dragon Rider,Cornelia Funke,3.96,73713,2298,2005,527,Chicken House
The Wind in the Willows,Kenneth Grahame,3.99,160427,5049,2005,256,Penguin Books
Wild Born,Brandon Mull,4.01,13250,1281,2013,224,Scholastic
The Scandalous Sisterhood of Prickwillow Place,Julie Berry,3.76,4313,986,2014,368,Roaring Brook Press 
A Mango-Shaped Space,Wendy Mass,4.21,25569,2657,2005,221,"Little, Brown and Company"
The Black Cauldron,Lloyd Alexander,4.14,54089,1379,2006,182,Square Fish
Insignificant Events in the Life of a Cactus,Dusti Bowling,4.35,3195,740,2017,262,Sterling Children's Books
